unit_code,category_cd,School_Name,Lea_Name,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lateral_teach_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_lateral_teach_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
840302,H,Albemarle High,Stanly County Schools,0.847,0.303,0.364,0.33299999999999996,33.0,1.0,0.188,0.113,0.153,0.8390000000000001,0.21,0.265,0.525,30.0,4.0,0.19399999999999998,0.09699999999999999,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stanly County Schools,Albemarle High,ENROLL,ALL,All Students (Total or Subtotal,44.0,286.0,51362.0,46.8085106382979,52.285191956124294,51.988460954501704
840332,H,North Stanly High,Stanly County Schools,0.81,0.16699999999999998,0.19,0.643,42.0,6.0,0.19,0.071,0.19,0.8390000000000001,0.21,0.265,0.525,30.0,4.0,0.19399999999999998,0.09699999999999999,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stanly County Schools,North Stanly High,ENROLL,ALL,All Students (Total or Subtotal,64.0,286.0,51362.0,64.64646464646471,52.285191956124294,51.988460954501704
840356,H,South Stanly High,Stanly County Schools,0.862,0.19399999999999998,0.306,0.5,36.0,3.0,0.25,0.064,0.138,0.8390000000000001,0.21,0.265,0.525,30.0,4.0,0.19399999999999998,0.09699999999999999,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stanly County Schools,South Stanly High,ENROLL,ALL,All Students (Total or Subtotal,44.0,286.0,51362.0,48.3516483516484,52.285191956124294,51.988460954501704
840361,H,Stanly Early College High,Stanly County Schools,0.87,0.125,0.375,0.5,8.0,1.0,0.25,0.133,0.13,0.8390000000000001,0.21,0.265,0.525,30.0,4.0,0.19399999999999998,0.09699999999999999,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stanly County Schools,Stanly Early College High,ENROLL,ALL,All Students (Total or Subtotal,24.0,286.0,51362.0,58.5365853658537,52.285191956124294,51.988460954501704
840368,H,West Stanly High,Stanly County Schools,0.872,0.182,0.2,0.618,55.0,10.0,0.145,0.079,0.128,0.8390000000000001,0.21,0.265,0.525,30.0,4.0,0.19399999999999998,0.09699999999999999,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stanly County Schools,West Stanly High,ENROLL,ALL,All Students (Total or Subtotal,107.0,286.0,51362.0,56.315789473684205,52.285191956124294,51.988460954501704
840370,H,Stanly Academy Learning Center,Stanly County Schools,0.583,0.429,0.429,0.14300000000000002,7.0,0.0,0.28600000000000003,0.48,0.41700000000000004,0.8390000000000001,0.21,0.265,0.525,30.0,4.0,0.19399999999999998,0.09699999999999999,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stanly County Schools,Stanly Academy Learning Center,ENROLL,ALL,All Students (Total or Subtotal,,286.0,51362.0,9.375,52.285191956124294,51.988460954501704
850332,H,North Stokes High,Stokes County Schools,0.938,0.25,0.188,0.563,32.0,1.0,0.188,0.11599999999999999,0.062,0.912,0.27,0.203,0.527,37.0,5.0,0.204,0.158,0.075,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stokes County Schools,North Stokes High,ENROLL,ALL,All Students (Total or Subtotal,45.0,261.0,51362.0,40.5405405405405,48.3333333333333,51.988460954501704
850352,H,South Stokes High,Stokes County Schools,0.888,0.156,0.289,0.556,45.0,4.0,0.111,0.198,0.09,0.912,0.27,0.203,0.527,37.0,5.0,0.204,0.158,0.075,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stokes County Schools,South Stokes High,ENROLL,ALL,All Students (Total or Subtotal,83.0,261.0,51362.0,50.920245398773005,48.3333333333333,51.988460954501704
850358,H,West Stokes High,Stokes County Schools,0.935,0.32299999999999995,0.145,0.532,61.0,12.0,0.27899999999999997,0.141,0.049,0.912,0.27,0.203,0.527,37.0,5.0,0.204,0.158,0.075,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stokes County Schools,West Stokes High,ENROLL,ALL,All Students (Total or Subtotal,118.0,261.0,51362.0,52.678571428571395,48.3333333333333,51.988460954501704
850360,H,Stokes Early College,Stokes County Schools,0.778,0.556,0.222,0.222,9.0,1.0,0.222,0.25,0.222,0.912,0.27,0.203,0.527,37.0,5.0,0.204,0.158,0.075,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Stokes County Schools,Stokes Early College,ENROLL,ALL,All Students (Total or Subtotal,15.0,261.0,51362.0,51.7241379310345,48.3333333333333,51.988460954501704
860316,H,East Surry High,Surry County Schools,0.925,0.024,0.195,0.78,40.0,11.0,0.244,0.073,0.05,0.9229999999999999,0.133,0.24100000000000002,0.627,39.0,6.0,0.217,0.071,0.065,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Surry County Schools,East Surry High,ENROLL,ALL,All Students (Total or Subtotal,75.0,252.0,51362.0,46.875,43.674176776429796,51.988460954501704
860336,H,North Surry High,Surry County Schools,0.929,0.193,0.21100000000000002,0.596,56.0,8.0,0.268,0.10800000000000001,0.071,0.9229999999999999,0.133,0.24100000000000002,0.627,39.0,6.0,0.217,0.071,0.065,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Surry County Schools,North Surry High,ENROLL,ALL,All Students (Total or Subtotal,80.0,252.0,51362.0,42.5531914893617,43.674176776429796,51.988460954501704
860352,H,Surry Central High,Surry County Schools,0.897,0.122,0.327,0.551,49.0,2.0,0.14300000000000002,0.042,0.08199999999999999,0.9229999999999999,0.133,0.24100000000000002,0.627,39.0,6.0,0.217,0.071,0.065,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Surry County Schools,Surry Central High,ENROLL,ALL,All Students (Total or Subtotal,62.0,252.0,51362.0,36.6863905325444,43.674176776429796,51.988460954501704
860354,H,Surry Early College,Surry County Schools,1.0,0.273,0.182,0.545,11.0,1.0,0.182,0.0,,0.9229999999999999,0.133,0.24100000000000002,0.627,39.0,6.0,0.217,0.071,0.065,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Surry County Schools,Surry Early College,ENROLL,ALL,All Students (Total or Subtotal,35.0,252.0,51362.0,58.3333333333333,43.674176776429796,51.988460954501704
861308,H,Elkin High,Elkin City Schools,0.953,0.125,0.156,0.7190000000000001,32.0,7.0,0.21899999999999997,0.011000000000000001,0.016,0.953,0.125,0.156,0.7190000000000001,32.0,7.0,0.21899999999999997,0.0,0.016,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Elkin City Schools,Elkin High,ENROLL,ALL,All Students (Total or Subtotal,43.0,43.0,51362.0,52.4390243902439,52.4390243902439,51.988460954501704
862312,H,Mount Airy High,Mount Airy City Schools,1.0,0.18899999999999997,0.243,0.568,37.0,4.0,0.162,0.157,,1.0,0.18899999999999997,0.243,0.568,37.0,4.0,0.162,0.158,,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Mount Airy City Schools,Mount Airy High,ENROLL,ALL,All Students (Total or Subtotal,74.0,74.0,51362.0,52.112676056337996,52.112676056337996,51.988460954501704
870314,H,Swain County High School,Swain County Schools,0.93,0.27899999999999997,0.14,0.581,43.0,9.0,0.18600000000000003,0.20800000000000002,0.07,0.93,0.27899999999999997,0.14,0.581,43.0,9.0,0.18600000000000003,0.20800000000000002,0.07,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Swain County Schools,Swain County High School,ENROLL,ALL,All Students (Total or Subtotal,62.0,63.0,51362.0,48.818897637795295,48.09160305343511,51.988460954501704
